	label	clstr	binF	txtF	txt	js	rust	md	json	img	lock	html
8de9ea525dd18fd7db12e678a93aa5d48beb2eca	bulk	7	0	15	1378	33.59	0	6.09	59.57	0	0	0
dcc6047057ee6119dec116c67bb19e5b6adc255a	bulk	3	5	15	1284	0	17.83	0.07	0.38	3	76.86	0
dcc6047057ee6119dec116c67bb19e5b6adc255a	bulk	3	5	15	1284	0	17.83	0.07	0.38	3	76.86	0
5effdcba7215cd378f138ab77f27016024720c0e	bulk	3	9	49	1208	0	83.94	0	0	0	15.23	0
58f14427f1d0637612e9357fef4ab63b5812f46d	bulk	3	15	31	1113	0	83.82	0	0	0	13.29	0
9a02ffc54fd003af30f912367493c0043035243d	bulk	3	0	26	984	0	96.13	0	0	0	3.86	0
8b902b259ed7b51169391a84342a5f6b3fe3ad41	bulk	4	0	15	938	46.69	0	0	0	0	0	0
59fc8e3ed7bf266bb9de891b1907bb358c9d93bb	bulk	4	0	22	778	97.68	0	0	0.12	0	0.64	0
8214b1cc5c3275178a47f6ed46d6bf4d4adce845	bulk	3	0	21	702	0.28	79.48	0	0.28	0	18.51	0
d59df5323316f89e82898819c356020ffcc35a19	bulk	7	0	22	334	0	0	0	100	0	0	0
921938082bdc3027c8784cc12223c09515624506	bulk	7	0	5	2031	71.98	0	0	28.01	0	0	0
d3015794a6e7c88908b0a5827ca8c2faabbf6672	bulk	4	0	6	1900	99.78	0	0	0.21	0	0	0
eb1ff6c8db682ab9a3f50e6112998c8464a532dd	bulk	7	0	8	1338	59.86	0	0	9.11	0	0	0
8e5e5e97dacba90323dc13bae632b38d5ebb15d5	bulk	7	0	8	1058	30.71	0	0	69.09	0	0	0.18
10b9cad438104ff4c27b5ac4ec154fb1a1b17e63	bulk	0	0	18	784	0	33.92	0	4.33	0	0	0
4306ed4d1b374ab2626f760812f392b56fb9011c	bulk	7	8	14	645	36.27	0	3.1	15.19	5	0	31.78
63678fe54355df5fd4e3646e906d25dbeacdfdc9	bulk	4	0	14	580	60.68	9.13	0	0	0	1.37	0
3a6be62bde75a68337bb1ae944c9ddc08352164a	bulk	3	0	12	497	0	13.68	0	1.2	0	80.68	0
91258c252b797920eb4acda08292784fb979f195	bulk	7	0	9	471	20.59	0	0	79.4	0	0	0
3ac22094e71896b6cf90087d977c10cebe6661e5	bulk	7	0	13	376	64.62	0	0	21.27	0	0	0
db377aa46eaae17a64b960cf049359ed98ea29bb	bulk	0	0	32	347	0	48.41	42.65	0	0	0	0
bff6358cc7b5581b98814fec1ae65ebadae9df91	bulk	3	0	11	326	0	29.44	0	0.92	0	54.6	0
bff6358cc7b5581b98814fec1ae65ebadae9df91	bulk	3	0	11	326	0	29.44	0	0.92	0	54.6	0
12795cc0cb8a59ea4f8bf57bac3f3e2586b0f9ff	bulk	0	0	17	310	0	98.7	0	0	0	0.32	0
12685c59fca259c6d7b1ff7e4c330a6a00e58688	bulk	0	0	18	302	0	97.68	0	0	0	0	0
6131577ab0795642dd102b4a3e7aeb9aaa3c9d32	bulk	4	0	14	277	47.65	2.88	0	1.44	0	7.22	0
0a48664b6fc1f28e417de18ce6a7c842fc193aa2	bulk	7	1	8	267	60.67	5.99	1.49	26.96	0	0	0
0e7f22b6e0b12981302743f2f6244a6f4932c2a4	bulk	3	0	11	257	0	82.1	0	0	0	15.17	0
831f3ad675d2fa3cc241352d0c60ad13be027ea2	documentation	5	0	2	192	0	0	99.47	0	0	0	0
8c43026efd8cf3036a8b4310267a7d911262aefe	documentation	5	0	1	163	0	0	100	0	0	0	0
84acd0f35c648d5a3beae1993813dfb1cf2cfb0b	documentation	5	0	2	137	0	0	100	0	0	0	0
106d958c7ca4bf979f53f8fa22c916232896d4df	documentation	5	0	5	132	0	0	100	0	0	0	0
f8a160901b7553146296e90225b5fa01ac4bec94	documentation	5	0	1	131	0	0	100	0	0	0	0
774d8a7b36a9a98635fa71bd36531d960aafa314	documentation	5	0	1	129	0	0	100	0	0	0	0
f1a50e348468d99f89776b747e9100ab1a7b9fd1	documentation	5	0	2	108	0	0	99.07	0	0	0	0
b3de2c11e03b2f11c48cc2ab083e815e5525555d	documentation	5	0	2	97	0	0	87.62	12.37	0	0	0
