"owner","repo_name","java_commits"
"Inactionware","uapi.base","639"
"InfinitiveOS-Devices","device_sony_yuga","1"
"InfinityLoop1309","NewPipeExtractor","773"
"Infusion-OS","android_packages_apps_Eleven","1865"
"Infytools","testproject","198"
"Injent","MIS-App","828"
"InsanePhin","bellbell_plugin","22"
"InseeFr","Trevas","1170"
"Intense-M","packages_apps_Apollo","862"
"Intense-M","packages_apps_Eleven","1869"
"IrisShaders","Iris","4282"
"ItzSomebody","radon","3615"
"JAvillarreal07","kamoNduck","135"
"JLLeitschuh","ktlint-gradle","1"
"JSQLParser","JSqlParser","3460"
"JSwingRipples2016","jswingripples","693"
"Jaiglissechef-i9100","android_packages_apps_Apollo","881"
"JakeWharton","timber","190"
"Jakkaphan-Chalongdej","line-bot-sdk-java","1586"
"JaneliaSciComp","jacs-compute","2356"
"JarvisCraft","padla","1183"
"JarvisPongSky","java-enhancement-kit","1797"
"JavaMoney","jsr354-api","3935"
"JavaMoney","jsr354-ri","3488"
"Javapengyuyan","leetcode","1283"
"Jeansding","interviews-java","2828"
"JeffersonLab","xmsg-java","1142"
"JegalEun","Algorithm_JAVA","145"
"JetBrains","gradle-intellij-plugin","92"
"JetBrains","intellij-platform-plugin-template","14"
"JetBrains","jediterm","2434"
"JetBrains","teamcity-hashicorp-vault-plugin","93"
"JnariyaInnov","HereApp-payment-Calling-async-http","1379"
"Joaodss","TradeIn-Website","221"
"JodaOrg","joda-money","603"
"JodaOrg","joda-time","3125"
"JoeIaquinto73","SampleWebAccessAndroid","1448"
"Jorch72","ForestryMC","5541"
"JuKu","mmo-game-client","479"
"K3-L6","gs-serving-web-content","11"
"KISH-students","KISH_server","482"
"KVostok","RestaurantRatingSystem","399"
"Kaned1as","NoLife-Player","1058"
"KaylaineFragoso","Generation_Brazil-Exercicies","4"
"Kentico","kontent-java-packages","909"
"KeyJ148","TOW","3720"
"Kieaer","Essentials","2480"
"KingsleyChung","Android_Mid_Term","53"
"Kirito-JZP","Wayfinding","398"
"Kiru100","Capstone","298"
"Kmrobb","Kaden","121"
"Kovalevskyi-Academy","Zeus","381"
