"owner","repo_name","scala_commits"
"BuiltBrokenModding","ICBM-2","12"
"vyankat70war","gildedrose","6"
"pureconfig","pureconfig","2241"
"iam-abbas","cs-algorithms","1"
"doubleloop-io","applied-fp-workshop-scala","964"
"Sensefields","swagger-codegen-scripts","2590"
"dequanchen","hbase-7129","295"
"remy3123","re-572-44","1"
"spotify","scio-idea-plugin","64"
"vesan","dotfiles","9"
"paco09","bigbluebutton","1068"
"DIEGO123TNS","https-github.com-opencv-opencv","26"
"guokai27","lianghua","8"
"nikosnikolaidis","ignite","3905"
"mnandinic","incubator-pinot","16"
"felix-lang","felix","20"
"GetStream","react-activity-feed","2"
"phainamikaze","cruise-control","19"
"ckc-org","dotfiles","8"
"seek-oss","aws-lambda-scala","36"
"MetricsGroup","hacker-scripts-only-security","2"
"e-kit","swagger-codegen","2630"
"enis","hbase-sal","109"
"paulmillr","dotfiles","8"
"snowplow","scala-maxmind-iplookups","268"
"docker-exec","dexec","52"
"VictoriaMurk","GildedRose_refactor","6"
"tianchuangandzhangjia","flink","23598"
"ajespoo","sparkk8","28478"
"joscha","play-authenticate","119"
"gwf-uwaterloo","cuizinart","25"
"sureindia-in","data-science-on-aws-workshop","10778"
"scalikejdbc","scalikejdbc-async","760"
"bearsmall","pmd","6"
"cmusv-sc","Spark","13774"
"broadinstitute","firecloud-orchestration","3764"
"naitae99","tutorials","31"
"eungju","kata","14"
"sksamuel","scrimage","3399"
"git-an756","hello_world","12"
"sparkling-graph","sparkling-graph","955"
"GoogleCloudPlatform","cloud-builders-community","6"
"sagpant","msgpack-c","23"
"gchq","gaffer-tools","2"
"victorclee","gilded-emus","6"
"edlf","simgrid","18"
"PierreNP","W8_J3","10"
"bazelbuild","bazel-federation","3"
"akka","akka-management","1170"
"serverless","examples","4"
"DavidAlphaFox","spark","17369"
"twitter","util","2655"
"hedgehogqa","scala-hedgehog","466"
"esamson","remder","173"
"suniala","lehtikierto","466"
"att","rcloud","3"
"querqy","smui","432"
"sbt","sbt-buildinfo","150"
"yarthur1","pulsar","4"
"dallonasnes","police-scanner-analysis","45"
"langjam","jam0001","13"
"KnowingNothing","AMOS","308"
"ECE444-2021Fall","project2-oss-group-3","11"
"hust-wuwechao","Mxnet2020V2","2482"
"81CuongVn","lila","69932"
"tetrafolium","kotlin","1"
"Norsk-Tipping","kafka-connect-jdbc-flatten","73"
"jandom-devel","Jandom","3002"
"joehughes1985","kafka2","7992"
"mongodb","mongo-scala-driver","1743"
"orrsella","dotfiles","43"
"sbmxc","hacktoberfest","1"
"hank","life","4"
"1995parham","github-do-not-ban-us","10"
"yangxi","staging-kafka","11065"
"huangyingw","mwouts_jupytext","3"
"codingwell","scala-guice","301"
"rtyley","bfg-repo-cleaner","382"
"hanshenrik","fp-course","133"
"kklochan","api_v2_docs","2589"
"maduhu","CMAK-Kafka-Manager","1194"
"HaliteChallenge","Halite-III","177"
"Jjake540","gilded-rose-tech-test","10"
"flowms-peter","kafka-connect-jdbc","73"
"bkirwi","decline","553"
"gaogf","flink","8178"
"shikto-tech","CLOUD_9_V3","9"
"OliverRehberg","gilded_rose_refactored","6"
"richardantal","phoenix","125"
"anandhamma","git-maven-examples","2"
"nikklassen","advent-of-code","6"
"tersesystems","terse-logback","13"
"liff","jetbrains-flake","29"
"arnabdey24","algorithm","11"
"ppratik2908","kafka-spark","28606"
"tapeout","firrtl-mill-sp19","1502"
"rohankumardubey","openwhisk","3399"
"GSSJacky","buildGeodeRedisAdapter","473"
"wang2ya","OpenCV","24"
"twitter","bijection","1448"
"arrow-kt","arrow","86"
"nailbiter","for","1"
"pmpawase","pp-jfrog-project-examples","3"
"ant8e","sbt-i18n","50"
"MartinHH","lkdoko","276"
"SunilPalagiri","Spark-Research-and-Development","24678"
"anteldan","braid_opencv","26"
"eed3si9n","jarjar-abrams","118"
"ahaxu","gitpod_hkp","133"
"indranil32","HelloWorld","1"
"swagger-api","swagger-codegen","2651"
"MSBigData2019","Benoit_SdeMenthiere","4"
"Snapchat","KeyDB","44"
"maziyank","gobyexample-id","6"
"evolution-gaming","akka-effect","1613"
"opencypher","front-end","11616"
"Lifecambodia","bigbluebutton","2807"
"ilya-klyuchnikov","mrsc","1744"
"hmcts","document-management-store-app","22"
"larrystd","redis_source","44"
"raspbian-packages","cargo","6"
"Not-so-middle","Sublime-BoxyTheme","6"
"swan-cern","sparkmonitor","31"
"i-surkov","fp-course","133"
"mainflux","mainflux","37"
"ibm-research-ireland","sparkoscope","25601"
"guardian","play-googleauth","143"
"Kins1ley","tvm","170"
"jmkr","eatfresh","43"
"oap-project","sql-ds-cache","5749"
"TOSIT-IO","kafka","13596"
"Soldie","opencv","26"
"p07r0457","ActiveMq-5","378"
"melpon","wandbox-builder","11"
"mbkulik","RxBackpressure","644"
"IronCoreLabs","cats-scalatest","93"
"outwatch","outwatch","1700"
"allforgood","allforgood","558"
"nice01qc","kafka2.5_learning","12160"
"zuomang","redis_learning","44"
"nandhakumarr94","jfrog","2"
"housepower","spark-clickhouse-connector","1438"
"ACINQ","eclair","6946"
"wang-jinfeng","spark-learning","30322"
"NetLogo","NW-Extension","678"
"sfhardman","grkata","6"
"wikimedia","wikidata-query-rdf","54"
"academy-jan-2022","trivia-mob-two","6"
"nguyenhaidhcn","java-tutorial","24"
"sirthias","parboiled","818"
"dwijnand","sbt-extras","59"
"akbence","flinkcep","5177"
"bharatsunny","OPEN-CV","26"
"ISE-SMILE","runtime-nodejs","899"
"hashmapinc","Tempus","6"
"pepegar","hammock","495"
"flowvault","proxy","1073"
"amrutabhanji117","helloWorlddevops","12"
"ngonzalez1981","tutorial","31"
"zhaijk","spark","26429"
"amrith92","hbase","316"
"luo4lu","opencv2","26"
"twitter","twitter-server","324"
"KeshavRDudhe","30-Days-of-Code","17"
"AlexRogalskiy","object-mappers-playground","1"
"orangain","opencv","27"
"liftmodules","widgets","625"
"rabbitmq","rabbitmq-tutorials","28"
"Lukas-Grasmann","skyline-queries-spark","29582"
"jaypy-h","facebook-torch-library","2"
"luc-neulens","test","31"
"scopt","scopt","447"
"vejandlakrishna","Tutorials","16"
"HussainYousuf","fp-course","133"
"homermultitext","hmt-archive","52"
"msgpack","msgpack-c","23"
"yurengwu","pulsar1","4"
"pan092","jsonPatch","1707"
"TileDB-Inc","TileDB-Java","4"
"itskautuk","tutorials","16"
"Lanceolata","redis","44"
"ZoranPandovski","design-patterns","7"
"evolution-gaming","skafka","1154"
"P-S-P-M","OPEN-CV","26"
"wix","quix","541"
"twitter","algebird","3503"
"intel-analytics","analytics-zoo","4727"
"scala","vscode-scala-syntax","98"
"gitbucket","gitbucket","6039"
"vandofb","opencv","26"
"embeddedkafka","embedded-kafka","619"
"jmwhitfi","pygments-main","595"
"azavea","franklin","968"
"hust-wuwechao","mxnet_20191220","2482"
"ryanoasis","vim-devicons","1"
"hhuyen123","confluent","14"
"qk693516337","shadowsocks-android","2625"
"pfhayes","dotfiles","1"
"NikitaSteamme","cucumber-jvm1","375"
"drujensen","fib","3"
"eclipse","ditto","95"
"scalableminds","webknossos-wrap","84"
"chenming100","Repository","2630"
"GoogleCloudDataproc","hadoop-connectors","33"
"richie00","spark","15370"
"danieletorelli","loan-cashflows-api","117"
"giacomodabisias","Opencv_withgpu","17"
"sdkman","sdkman-db-migrations","849"
"foundweekends","pamflet","366"
"apache","incubator-doris","35"
"oap-project","gluten","1123"
"ymd526442121","spark_learn","24610"
"scala","scala-parallel-collections","992"
"jbrains","trivia","6"
"braje","course","126"
"blockchaintp","daml-on-sawtooth","56"
"eisber","Recommenders","24"
"zio","zio-actors","163"
"aiyan2001","learngit","335"
"tommydavis","openapi-generator","2819"
"trishume","syntect","1"
"v0dro","scratch","47"
"earldouglas","sectery","154"
"jonatan-ivanov","teahouse","2"
"gridgain","gridgain","4314"
"domtronn","all-the-icons.el","3"
"stankmic","A4M33TVS","55"
"evolution-gaming","stracer","234"
"wosorio80","mambu","2652"
"0xreza","tvm","308"
"KattisMaster","ACM-ICPC-Algorithms","6"
"saddle","saddle","829"
"mahloeu","cucumberJavaTestNg","375"
"cchantep","acolyte","1192"
"andreaferretti","linear-algebra","4"
"blaze-init","blaze","348"
"DanBarkus","pygments_gsql_lexer","50"
"codebyravi","serverless","3"
"playframework","scalatestplus-play","1390"
"ionic-team","ng-cordova","2"
"lightbend","paradox","772"
"soc","soc.me","2"
"AntonEstrela","Examen_pes_real","93"
"broadinstitute","gpalloc","243"
"mybatis","scala","563"
"acidghost","ENRON-sentiment-analysis","173"
"typelevel","cats-tagless","732"
"gczsjdy","spark-adaptive","27498"
"sbt","sbt-git","146"
"booqee","opencv","26"
"DataDog","integrations-core","1"
"hku-systems","kakute","27110"
"scala-text","scala_text","31"
"Luckitas1986","FaceDetection","26"
"rexxer1","r3x","9"
"pmandadapu9","Jhipster","44"
"rohankumardubey","polynote","1981"
"kesihai","hbase","316"
"japentaca","c9sdk","9"
"travisbrown","dotty-experiments","12287"
