"owner","repo_name","scala_commits"
"RagnarGrootKoerkamp","BAPCtools","2"
"softwaremill","magnolia","874"
"compiler-explorer","compiler-explorer","1"
"singh4java","poc","90"
"http4s","http4s","28161"
"souffle-lang","souffle","2"
"jly36963","notes","3"
"wix","specs2-jmock","84"
"reviewdog","errorformat","8"
"swamp0407","test","44"
"Leonidas-from-XIV","sandbox","5"
"guardrail-dev","sbt-guardrail","114"
"davidB","scala-maven-plugin","118"
"emartech","jwt-akka-http","24"
"Norsk-Tipping","kafka-connect-jdbc-event-store","73"
"derekwyatt","vim-scala","43"
"bamdada","FL-Fiji-biology-images","1"
"sleepo-chin","enterprise-gateway","5"
"xiaomaolau","swagger-api","2652"
"opendigitaleducation","entcore","236"
"ucinlp","bibere","91"
"amacsnyk","sbttestfile","216"
"evolution-gaming","kafka-flow","912"
"jampani80","Tutorial","90"
"openlawteam","docs","2"
"frs69wq","simgrid","18"
"s5907","NAI","26"
"hacktoberfest17","programming","8"
"peterkiss","ftloops","4249"
"melix","jmh-gradle-plugin","11"
"uber","okbuck","4"
"cn007b","stash","23"
"igstan","linguae","539"
"shivmgg","PACE_tvm","308"
"gchudnov","kprojekt","416"
"leonard207","redis-6.0.5","44"
"cielavenir","codeiq_solutions","48"
"scapegoat-scala","sbt-scapegoat","70"
"leonwilson21","ece435","9"
"blackavg","rabbitmq-tutorials","28"
"ACINQ","bitcoin-lib","572"
"wonderfan","codefest","3"
"ajohnson10209","AOT-Fellowship","8"
"dwijnand","sbt-project-graph","30"
"klg71","mayope_pgjbc","1"
"gattupallysrinu","helloworld","11"
"flowcommerce","lib-unit-of-measurement","101"
"Vdf-HumansInLearning","GildedeRose-Refactoring-Kata","6"
"Kotlin","kotlin-spark-api","103"
"neowal1","neowal1","1067"
"rohankumardubey","scio","11009"
"armanbilge","gcp4s","235"
"willi669","generator-jhipster","44"
"Twiggecode","Integer-Sequences","2"
"tomjer123","opencv_github","26"
"ShadowsocksR-Live","ssrDroid","2625"
"geoffreywiseman","adventofcode","8"
"broadinstitute","agora","1151"
"ArtiomR","GuildedRose","6"
"zio","zio","14561"
"btcontract","IMMORTAN","2263"
"awslabs","deequ","501"
"broadinstitute","rawls","8255"
"G-Research","spark-extension","79"
"spedroza82","helloworld","11"
"typelevel","cats-time","329"
"Loopring","DEX-API-V3","3"
"jpdna","mango-private","923"
"tlc-pack","tenset","308"
"scalaz","scalaz-deriving","2066"
"joseandres8","ProyectoColores_JyA","2"
"cgerum","tvm_tutorial","308"
"gladiaio","gladia","392"
"YJcheon","Empty_Parking_Lot_searching","26"
"confluentinc","kafka-connect-jdbc","73"
"rjeb","cs152","171"
"odpf","dagger","54"
"cttestid41","Apache_Hbase","259"
"com-lihaoyi","Ammonite","5824"
"Aniket965","Hello-world","20"
"evolution-gaming","sequentially","132"
"earldouglas","xsbt-web-plugin","946"
"jonnycrunch","c9","10"
"twitter","cassovary","971"
"bazelbuild","rules_docker","2"
"julianpeeters","avrohugger","2616"
"SumoLogic","epigraph","3356"
"jhavierc","spring","31"
"ForeverRunner","redis-note","44"
"zmmx011","kafka-connect-jdbc-altibase","73"
"bwcx-aws","data-science-on-aws-workshop","10778"
"swaldman","ens-scala","118"
"hacklanta","lift-formality","101"
"alan-turing-institute","advent-of-code-2021","35"
"visinha","hello","11"
"edmunds","databricks-maven-plugin","15"
"gfc-collective","sbt-aws-lambda","121"
"venkat-amg","Test-Repo-2","13"
"vespa-engine","vespa","1005"
"herveDarritchon","ugglytrivia-formation","6"
"vladovel","knative-docs","5"
"alxxjohn","xgboost","760"
"parmance","tvm","137"
"emartech","gcs-bigquery-scala-api","150"
"Macarse","50AH-code","4"
"cf-testorg","cucumber-jvm-test","375"
"OussamaSghaier","smile-bot-test","593"
"brack3t","django-braces","4"
"lilydjwg","swapview-rosetta","3"
"shubhj","instinct","11"
"eatnumber1","goal","27"
"albertpastrana","uscala","81"
"leoalexand","aws-ds-NLP-BERT","7681"
"indy256","codelibrary","52"
"commercetools","commercetools-docs-kit","1"
"fulcrumgenomics","dagr","972"
"heroku","heroku-buildpack-scala","24"
"h77h7","tvm","354"
"fossabot","xenocosm","989"
"chovy-3012","hdp-hbase","53"
"atnos-org","eff","2100"
"19970126ljl","tvm_licm","308"
"nizhiqi1","spark1","30317"
"velvia","ScalaStorm","144"
"allure-framework","allure-java","30"
"liftmodules","machine","519"
"moozzyk","AdventOfCode","59"
"vvondra","advent-of-code","67"
"occidere","GithubWatcher","135"
"akka","akka-persistence-dynamodb","288"
"iwashitah","jfrog-project-examples","2"
"jawabpm","OpenAPI","88"
"scalameta","mdoc","1441"
"AlDanial","cloc","1"
"askymore","Antox.sdk","3476"
"rohankumardubey","incubator-heron","201"
"askymore","SigTox","174"
"tylerjohnhaden","cloud-project-8","2490"
"askymore","Antox-local","3406"
"qinwang","spark","29877"
"cucumber","cucumber-jvm","375"
"smartan123","redis","44"
"agourlay","json-2-csv","97"
"Ggoals","spark2.2_custom","28651"
"krausest","js-framework-benchmark","40"
"yunha821","java","156"
"davidrobert","trainings","7"
"pwherman73","kafka-connect-jdbc","73"
"TomMD","apache-camel","1216"
"sailfishos-mirror","pygments","50"
"databrary","databrary","3524"
"openequella","openEQUELLA","2083"
"mapachurro","OpenLease","472"
"youseebiggirl","rrrr","44"
"airvin","fp-course","133"
"capnproto","capnproto-java","166"
"spotify","flo","115"
"http4s","http4s.g8","106"
"Alefas","playframework-fork","9633"
"streamline-eu","dynamic-flink","7519"
"photogamerun","hbase","264"
"SoushiAnzai","scalajs-spa","314"
"TamirDemo","apachePhoenix","125"
"humberto-garza","VideoJuegos","2"
"zeyu203","redis_source_commend","44"
"lichess-org","lila","72247"
"hust-wuwechao","mxnet_888888888","1208"
"innoq","activator-play-roca","116"
"rohankumardubey","julie","28"
"hnaderi","edomata","757"
"akka","akka-grpc","2550"
"Rahul7171","DSA-BOOTCAMP","1"
"sbt","io","724"
"lilcheti","shadowsocks-android","2625"
"eric-erki","snowplow","8003"
"IsratIJK","URI-Problem-Solve","1"
"twitter","summingbird","3864"
"databricks-edu","build-tooling","17"
"GeraldHuang82","Chipsel","3069"
"haoyang9804","tvm-exp","308"
"PatrickAnnie","TVM_for_CIM","308"
"emartech","scala-logger","394"
"noble3636","test","11"
"chipsalliance","chisel3","3386"
"devopsforarshan","hello-world","11"
"jc-lab","sqlcipher-jdbc","2"
"microsoft","SynapseML","5675"
"full360","prometheus_client_scala","430"
"Jniecor","escenario2","2"
"andygrove","how-query-engines-work","187"
"ric96","opencv-aarch64","26"
"playbar","gllearn","8"
"amitt001","codebuddy","2"
"fauna","faunadb-jvm","1136"
"Comcast","ip4s","375"
"scalapb-json","scalapb-json-common","275"
"fsouza","fake-gcs-server","2"
"lumig242","Hue-Integration-with-CDAP","1031"
"fakeNetflix","twitter-repo-ostrich","1462"
"viash-io","viash_web","6"
"abhishek-ca","apache-spark","30595"
"sharkdp","bat","2"
"mahyarnajibi","SNIPER-mxnet","1918"
"ln-vortex","ln-vortex","808"
"j5ik2o","sw4jj","33"
"skanev","playground","268"
"k8s-docs","knative-documentation","5"
"flowcommerce","lib-log","61"
"NXPmicro","neo-ai-tvm","307"
"sbt","sbt-dynver","163"
"asdredmitry","opencv","26"
"HrithikMittal","Hacktoberfest2k20","7"
"kyleburton","sandbox","62"
"holdenk","spark-testing-base","957"
"alexarchambault","ammonite-spark","224"
"Sreelal-VU","sample-sonarqube-repo4","6"
"Asteur","deep-qa","441"
"Sciss","Mellite","9594"
"winbarani","Snowplow","8003"
"andreaferretti","lethe","655"
"rikvdkleij","intellij-haskell","4807"
"babuyashwanth","cd-xgboost","760"
"pentester5530","camel","1216"
"ksdc2020","helloworld","13"
"analogweb","analogweb-scala","660"
"prisma","prisma-engines","1921"
"rosenhristov","rabbitmq-tutorial","28"
"optics-dev","Monocle","6538"
"sbt","sbt-native-packager","1081"
"Robert-Nickel","lightbulb-learning","174"
"skorpion77","basex_2","10"
"pcf2cloud","Tutorial","31"
"beilei2017","spark_ml_data","27646"
"DataDog","dd-trace-java","233"
"nryanov","genkai","534"
"lifeSo","spark-fork","30429"
"rftamilmani","Hello-world","3"
"ScottSedgwick","fp-course","133"
"srini4547","Jfrog","2"
"takezoe","solr-scala-client","305"
"wasted","netflow","493"
"pmpawase","test-project-examples","2"
"eric-erki","bokeh","67"
"reeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee","reeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee","1"
"typelevel","squants","2045"
"rohankumardubey","slick","4641"
"cur1osityay","gitbucket","5989"
"QUANTAXIS","QUANTAXIS","8"
"Antostef","trivia","6"
"zio","zio-nio","861"
"RogerDeng","opencv","26"
"DjamshidDjurayev","timespot","298"
"pranathigundu","bamboo-test","11"
"BME-MIT-IET","iet-hf2021-regression","373"
"naveen554","jhipster-php","44"
"ShekharGaurav","MLFlow","1"
"comsec-group","cellift-chipyard","1370"
"gengstrand","clojure-news-feed","307"
"bicistits","mmcgrana","9"
"judicaeldehotin","pdal_nuagepoints","57"
"jryden2","KeyDB","44"
"HaliteChallenge","Halite","19"
"fakeNetflix","twitter-repo-scala_school","38"
"NerdonblooR","SparkHyperCubeJoin","27064"
"Aartisarode","Hello_World","12"
"mshadish","lendingclub","1"
"zzcclp","spark-adaptive","28140"
"xlogan777","github_repo1","10"
"rajatguptakr2","ng-cordova","2"
"mvali95","slick","4397"
"patrickapiiro","openAPI-demo","88"
"GrowBox-Cloud","gbc-home-base","1"
"muhammadali8767","rabbit_php","28"
"openbabel","openbabel","1"
"andrewsu129","xgboost","755"
"awslabs","deeplearning-benchmark","13"
"runsascoded",".rc","4"
"mirage335","ubiquitous_bash","2"
"evolution-gaming","kafka-journal","6412"
